C:\a\4\s\DpUpdates\DpUpdates.cpp, 53	2024-03-25 10:19:22: Starting new log ***********************. 
C:\a\4\s\DpUpdates\DpUpdates.cpp, 54	[INFO] Finalize the installation. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1038	Recreate 'E:/ryan/Documents/workspace/python/capstone/robot/Virtual Controllers/CRB15000_5_95/internal/temp/INSTALL'
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1052	[INFO] InstallSystem starts. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1056	[INFO] Create system structures. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1362	[INFO] Building system structure in 'E:/ryan/Documents/workspace/python/capstone/robot/Virtual Controllers/CRB15000_5_95/internal'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1378	[INFO] Building folders under 'E:/ryan/Documents/workspace/python/capstone/robot/Virtual Controllers/CRB15000_5_95'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1403	GetProdsAndFeaturesFromCtrlrsfFile(), file path = 'E:/ryan/Documents/workspace/python/capstone/robot/Virtual Controllers/CRB15000_5_95/internal/controller.rsf'. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1449	GetProdsAndFeaturesFromCtrlrsfFile(), got 4 products. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1514	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'RobotOS'. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1514	GetProdsAndFeaturesFromCtrlrsfFile(), got 17 features for product 'RobotControl'. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1514	GetProdsAndFeaturesFromCtrlrsfFile(), got 2 features for product 'Robots'. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1514	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'Wizard'. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1083	[INFO] Get information of product 'RobotOS'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1092	[INFO] Get all features and feature data of product 'RobotOS'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 354	[INFO] Number of features for product 'RobotOS' is 1.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 357	[INFO] Get information for each feature.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 403	[INFO] No KeyValue found for feature 'abb.robotics.robotos' in file C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotOS_10.0.1/abb.robotics.robotos.rmf.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1083	[INFO] Get information of product 'RobotControl'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1092	[INFO] Get all features and feature data of product 'RobotControl'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 354	[INFO] Number of features for product 'RobotControl' is 17.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 357	[INFO] Get information for each feature.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 403	[INFO] No KeyValue found for feature 'abb.robotics.robotcontrol.options.safemove.smpnp' in file C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotControl_7.12.0/abb.robotics.robotcontrol.rmf.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 403	[INFO] No KeyValue found for feature 'abb.robotics.robotcontrol.options.nocat0stop' in file C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotControl_7.12.0/abb.robotics.robotcontrol.rmf.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 403	[INFO] No KeyValue found for feature 'abb.robotics.robotcontrol.controllerhw.axiscomputer.none' in file C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotControl_7.12.0/abb.robotics.robotcontrol.rmf.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 403	[INFO] No KeyValue found for feature 'abb.robotics.robotcontrol.controllerhw.m28.01' in file C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotControl_7.12.0/abb.robotics.robotcontrol.rmf.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 403	[INFO] No KeyValue found for feature 'abb.robotics.robotcontrol.controllerhw.variant.c30' in file C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotControl_7.12.0/abb.robotics.robotcontrol.rmf.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 403	[INFO] No KeyValue found for feature 'abb.robotics.robotcontrol.controllerhw.varianttype.c30.typea' in file C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotControl_7.12.0/abb.robotics.robotcontrol.rmf.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1083	[INFO] Get information of product 'Robots'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1092	[INFO] Get all features and feature data of product 'Robots'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 354	[INFO] Number of features for product 'Robots' is 2.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 357	[INFO] Get information for each feature.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1083	[INFO] Get information of product 'Wizard'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1092	[INFO] Get all features and feature data of product 'Wizard'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 332	[INFO] No default selected feature found in file 'C:/Users/ryan/AppData/Local/ABB/RobotWare/Wizard_1.5.2/abb.cn.robotics.wizard_1.5.2.rmf'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 354	[INFO] Number of features for product 'Wizard' is 1.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 357	[INFO] Get information for each feature.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1715	[INFO] Product path 'C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotControl_7.12.0'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1740	[INFO] Product path 'C:/Users/ryan/AppData/Local/ABB/RobotWare/RobotOS_10.0.1'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1740	[INFO] Product path 'C:/Users/ryan/AppData/Local/ABB/RobotWare/Robots_1.12.0'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1740	[INFO] Product path 'C:/Users/ryan/AppData/Local/ABB/RobotWare/Wizard_1.5.2'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1763	[WARNING] Failed to get serial number or empty serial number. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1821	[INFO] Generating key.id, writing header.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 2046	[INFO] Generate file 'E:/ryan/Documents/workspace/python/capstone/robot/Virtual Controllers/CRB15000_5_95/internal/system.xml'.
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 2075	[WARNING] Unable to get serial number or empty serial number. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1156	All actions done, status = 0. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 2325	[INFO] Installation is complete. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 878	[INFO] Update prodinfo.xml. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 907	[INFO] Need to update prodinfo.xml. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 948	[INFO] File E:/ryan/Documents/workspace/python/capstone/robot/Virtual Controllers/CRB15000_5_95/internal/prodinfo.xml has been updated. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 979	[INFO] Failed to get RWI version. 
C:\a\4\s\DpUpdates\DpUpdates_i.cpp, 1004	[INFO] File E:/ryan/Documents/workspace/python/capstone/robot/Virtual Controllers/CRB15000_5_95/internal/prodinfo.xml has been created, status = 0. 
